Company,Page_Number,Keyword,Frequency,Context_Snippet
Ahold Delhaize,9,Scope 3,1,"convenient for them, we are growing our enhance our European retail media ad platform validated our scope 3 greenhouse gas (GHG) omnichannel solutions – our key differentiator. and bring it over to the U.S. "
Ahold Delhaize,60,Scope 3,1,"d, in Europe, we plan and in Digital and Technology. Advancing in these Focus on our people address scope 3 emissions. These efforts support long-term business resilience and to remodel 240 stores in 2026. t"
Ahold Delhaize,83,deforestation,1,"y impacts, a foundation for the implementation of our roadmap that will also help us meet the incl. deforestation (VC) incl. land rights, access prevent and mitigate negative impacts sustainability approach. Our G"
Ahold Delhaize,89,regenerative agriculture,1,"environmental information 89 environmental information: at a glance 90 sustainable and regenerative agriculture 92 climate 94 climate change 106 nature 108 pollution, water and marine resources, biodiversity and"
Ahold Delhaize,91,regenerative agriculture,3,"Environmental continued Sustainable and regenerative agriculture Ahold Delhaize USA Nature Ahold Delhaize USA is running In addition, Hannaford is partnering Nature"
Ahold Delhaize,92,regenerative agriculture,1,"Environmental continued Sustainable and regenerative agriculture continued Maxi, Serbia Mega image, Romania Albert Heijn, the Netherlands Maxi Serbia’s longstanding"
Ahold Delhaize,94,Scope 3,3,ero-emissions and services no later than with our overall business strategy. electricity used 2050 (scope 3). (2035 target: 100% zero- emissions electricity) See Our transition plan on page 98 5.2% 7.9% incr
Ahold Delhaize,95,Scope 3,2,".4% 0.4% exclude from those benchmarks the companies that derive revenues over specified thresholds Scope 3 (MtCO 2 e) 60.40 61.43 from certain activities (e.g., coal-, oil- or natural Purchased goods and se"
Ahold Delhaize,98,Scope 3,11,"ed Climate change continued How we measure performance: The use of carbon credits is not counted as Scope 3 targets In 2023, in line with the SBTi guidance on emissions reductions toward the achievement land"
Ahold Delhaize,102,Scope 3,10,"Environmental: climate continued Climate change continued Value chain (scope 3) Since we set our scope 3 targets, our Key priorities and levers Agricultural practices lever: Most"
Ahold Delhaize,102,deforestation,2,". Our value chain consists of tens of supplier pilots and credible industry initiatives. packaging, deforestation and food waste longer-term contracts with concrete thousands of suppliers, producers and farmers We"
Ahold Delhaize,103,Scope 3,6,ss will require industry change buying decisions. This includes stimulating and Collecting accurate scope 3 data remains (including bovaer and red algae) to reduce and the ability to bring stakeholders acros
Ahold Delhaize,103,deforestation,7,"cts and continue Evolving approach to data This involves strategies such as improving Regulation on Deforestation-free Products to help them understand the impact of their animal feed formulas, using feed additive"
Ahold Delhaize,104,Scope 3,4,"our supplier network Funding the systems transition also presents challenges as we seek to Reducing scope 3 carbon emissions requires In focus: Reducing influence, scale and track decarbonization a shift in "
Ahold Delhaize,104,regenerative agriculture,1,"ain decarbonization. As part of their scope 3 plans, more sustainable production methods, including regenerative agriculture. our local brands are encouraging suppliers Governments can create level playing fields, to set sci"
Ahold Delhaize,105,Scope 3,3,"ntinued Through scenario modeling we’ve been able Physical risks: Supply chain GHG removals and For scope 3 residual emissions, our approach to both understand the potential financial is still in development"
Ahold Delhaize,106,Scope 3,5,"ontinued Climate change continued Metrics Compared to our 2018 baseline, our scope 1 GHG emissions (scope 3) Our approach relies on globally recognized and 2 emissions decreased by 39% in 2025. emissions dat"
Ahold Delhaize,107,deforestation,1,"lace significant pressure on nature and biodiversity, for example, through ecosystem conversion and deforestation, water use, overfishing, GHG emissions and pollution to soil and water. Around the world, nature is"
Ahold Delhaize,109,regenerative agriculture,1,ities sale of products by Ahold Delhaize brands harvested from both wild catch and óSustainable and regenerative agriculture óThe impact on biodiversity and ecosystems aquaculture operations. óOrganic agriculture through lan
Ahold Delhaize,109,deforestation,1,"on ecosystem services such as to evolving policies and nature and biodiversity-related policies and deforestation) and direct exploitation pollination, water availability and healthy soils. regulations on nature a"
Ahold Delhaize,110,regenerative agriculture,1," due to to, nitrates, phosphates, pesticides, non-GHG build awareness and understanding of barriers regenerative agriculture, including the the extraction and use of marine resources and air pollutants and microplastics, whi"
Ahold Delhaize,110,deforestation,4,"lue negative impact relating to land degradation marine resources Our approach to nature chains for deforestation and land conversion, in the upstream value chain. W l a t d o e h r e w v e e e p e n d e u h l o e"
Ahold Delhaize,111,Scope 3,1,"ct suppliers, are rolled out as new sourcing of own-brand seafood products from that our efforts in scope 3 – focusing on the contracts are entered into and our upstream value chain: Timeline Ambition collec"
Ahold Delhaize,111,deforestation,5," land value chain material sustainability sub-topics, of Engagement Marine resources conversion and deforestation, focused on the including for pollution and water consumption, For marine resources, we have the fo"
Ahold Delhaize,113,regenerative agriculture,2,"marine resources, biodiversity and ecosystems continued Biodiversity and ecosystems Sustainable and regenerative agriculture In addition to the actions discussed on the Our approach to Key priorities identified are: Poor far"
Ahold Delhaize,113,deforestation,14,"pe of our impacts on soil, waterways and biodiversity. communities & planet strategic priority also deforestation-free deforestation-free sourcing As well as resulting in environmental damage, reduce our negative "
Ahold Delhaize,114,Scope 3,2,"acts than animal-based Belgrade – that aims to achieve zero pesticide proteins; see Climate change: scope 3 key The Roundtable on A global partnership promoting sustainable palm oil production, residue produ"
Ahold Delhaize,114,regenerative agriculture,2,"ts the development step-by-step advice to improve soils, reduce legislation, which has been an of a regenerative agriculture framework. pesticides and fertilizers and improve water important factor in how our EU brands effic"
Ahold Delhaize,114,deforestation,4,"oped in conjunction When produced sustainably, these have fewer Alliance (TFA) global transition to deforestation-free supply chains for commodities with the Faculty of Agriculture, University of like palm oil, so"
Ahold Delhaize,115,deforestation,3,"ical commodities to reflect We track our progress and performance Performance management all of our deforestation-linked commodities. our strengthening nature approach. by certifying own-brand products, with Despi"
Ahold Delhaize,121,circular economy,1," non-recyclable black plastic containers to sustainability policy that includes topics related of a circular economy for plastics: eliminate packaging formats, offer reusable packaging 100% post-consumer recycled (PC"
Ahold Delhaize,122,circular economy,1,o the supporting The Global Commitment’s environmental impact of non-plastic packaging vision for a circular economy for plastics. for products sold by Ahold Delhaize brands. We monitor collective progress through At
Ahold Delhaize,124,circular economy,1,"r or recycle, manufactured by third parties. From a resource as we aim to minimize negative use and circular economy perspective, our environmental impacts. priorities are, first, to reduce waste generated within our"
Ahold Delhaize,128,circular economy,1,e use and protection of water and marine resources Total activities activities óThe transition to a circular economy 2024 2024 KPIs / Year 2025 2024 2025 restated 2025 restated óPollution prevention and control Turno
Ahold Delhaize,182,Scope 3,1," the Committee was appreciated the frequency of meetings and significant attention to the design of scope 3 topics, and guidance on continuing to kept up to date on relevant matters in the the level of infor"
Ahold Delhaize,190,Scope 3,1,e presented in the AGM agenda and the Total store healthy sales 15% accompanying explanatory notes. Scope 3 10% Ahold Delhaize Annual Report 2025 189
Ahold Delhaize,195,Scope 3,1,etailed and The members of the Management Board participated in the annual cash-based EIP. approved scope 3 plan (weight 2024: 7.5%) Three performance measures were used to track the Company’s financial perf
Ahold Delhaize,196,Scope 3,4," annual cash incentives to be paid in 2026, subject to shareholder approval of the 2025 focusing on scope 3 GHG emissions reduction. This has guided our great local brands and financial statements. 2. The 20"
Ahold Delhaize,247,Scope 3,4,"G emissions baseline year) issue took place on March 10, 2025. ó30.3% and 42% reduction in absolute scope 3 FLAG and E&I (non-FLAG) GHG emissions, The bond was issued in accordance with Ahold Delhaize’s Sust"
Ahold Delhaize,292,Scope 3,2,lity and completeness of ESG data as provided by third parties in their supply chain. GHG emissions scope 3: 2020 (updated from 2018 in 2022 as part of our updated scope 3 targets) Events after the end of th
Ahold Delhaize,293,Scope 3,1," carbon pricing, to impact product sales and against the planned investments. gross margin. We used scope 3 data for own-brand and national-brand products to group products into different categories based on"
Ahold Delhaize,294,Scope 3,7,"carbon emission pricing is accounted for on a production basis without border adjustments, upstream scope 3 emission costs incurred by suppliers are Energy intensity per net revenue passed on in full to Ahol"
Ahold Delhaize,295,Scope 3,9," 2,440 39 % 2,575 (5.2) % 5.4% 2,005 4.2 % 401 4.1 % 2020 2020 near long 2020 term2 term3 Near term Scope 3 GHG emissions1 Actual SBTi SBTi Actual SBTi Actual Gross indirect (scope 3) GHG emissions 60,403 61"
Ahold Delhaize,296,Scope 3,10,es continued Environmental indicators continued Overview of the calculation of our SBTi-methodology scope 3 emissions Actual values Near-term SBTi target and performance Long-term SBTi target % inclusion 202
Ahold Delhaize,297,Scope 3,2,l Corporate Accounting and Reporting Standard. We 2 million net sales) 0.69 0.72 (5.3) % report our scope 3 GHG emissions with reference to the latest version of the Greenhouse Gas Protocol Corporate Value C
Ahold Delhaize,298,Scope 3,16,"ues of all refrigerant provided also puts a burden on our local brands. For this reason, we collect scope 3 GHG- blends used in Ahold Delhaize facilities were calculated based on GWP values of refrigerants f"
Ahold Delhaize,299,Scope 3,2," emissions are calculated using the distance-based method. Ahold Delhaize brands in connection with scope 3 emissions, reducing the use of assumptions and estimates, request emissions data directly from the "
Ahold Delhaize,300,Scope 3,5,"umbers reported Scope 1 – Own transport 250 0.3 251 for scope 1 and 2, and categories 3, 4 and 7 of scope 3, as well as prior year and the baseline Gross location-based scope 2 GHG emissions 1,646 (7) 1,640 "
Ahold Delhaize,302,fair trade,1,nd products containing over 1% coffee by weight certified against an accepted standard 98.1% 97.4% óFair Trade USA/Fairtrade/FLO-CERT/Fairtrade Sourcing Program Percentage of own-brand products containing over 
Ahold Delhaize,303,deforestation,1,"adder. High-risk soy is defined as soy that comes from South America, which can potentially lead to deforestation and degradation of valuable Percentage of shell eggs that are cage free 53% 47% ecosystems such as "
Ahold Delhaize,310,circular economy,1," may seem to fall under the activity “4.1. Electricity digestion or composting and contributes to a circular economy by diverting waste from landfills, generation using solar photovoltaic technology,” all our solar p"
Ahold Delhaize,312,circular economy,1,portion of Taxonomy- Taxonomy-aligned KPI Climate change mitigation Climate change adaptation Water Circular economy Pollution Biodiversity Enabling activity Transitional activity aligned in Taxonomy eligible Proport
Ahold Delhaize,325,Scope 3,1,"ted to fraud did not result in an additional (scope 1 and 2) as well as for the entire value chain (scope 3) to support the objective of limiting key audit matter. We communicated our risk assessment, audit "
